cid,size,internal_edges,external_edges,internal_fraction,avg_sentiment,top_hubs
0,740,788,292,0.7296296296296296,-0.4167964410863332,"ronfilipkowski, patriotclyde, corwin88, hellishchildren, carelesswhisperer"
1,380,435,228,0.6561085972850679,-0.322897964887949,"cortneymckee, h0pe4dfuture, af68, catlady0218, dianesf"
2,279,297,112,0.726161369193154,-0.41704684146601545,"carlquintanilla, billkristolbulwark, kateinkharkiv, thebulwark.com, rlab53"
3,279,315,164,0.6576200417536534,-0.34080521260540947,"steventdennis, connorredacted, jane-anon, saveam, repsych"
4,274,302,135,0.6910755148741419,-0.5885077520267458,"powerbolt, ky-blue17, beingliberal, indicina, grammy1947"
5,266,281,106,0.7260981912144703,-0.3441531352195027,"disentingcat, melindameyer, gracienlucy, thorbenson, beefwithchinnuts"
6,257,269,89,0.7513966480446927,-0.5123584177945145,"reichlinmelnick, cullenskink, endicottroad, surfrockitt, yvettejr718"
7,249,255,116,0.6873315363881402,-0.55097918523439,"atrupar.com, tnsteve.com, butijustmether, dabnmsf80, esitrot"
8,249,263,102,0.7205479452054795,-0.44656299283617046,"thetnholler, scanpipedreams, thetrumpcrisis, notrebecca, politicsgirl"
9,243,260,107,0.7084468664850136,-0.5565774891382227,"forbes.com, mayflowerdescendnt, psteele79, gokuldas.space, donnybhoy"
10,238,252,76,0.7682926829268293,-0.37442116912888,"jkbjournalist, bradmossesq, phillipspobrien, mrjoncryer, eydiswinterborne"
11,228,248,131,0.6543535620052771,-0.45766886539246526,"jonbandit, quickschnell, ravnica11, reedshorror, swin24"
12,224,239,87,0.7331288343558282,-0.28524579570694947,"womenriseup2026, altnps, fuck-elon-musk, grameee5, usapolitik"
13,224,233,103,0.6934523809523809,-0.46608366846015015,"timboard, stewardship, envinyon, weeder, charlie859"
14,206,212,62,0.7737226277372263,-0.39099410362541676,"patriottakes, blueskyfanatic, satyr-icon, genx4equality, sznln"
15,202,220,28,0.8870967741935484,-0.37879177254314217,"helldude, internethippo, southernviolet.blackskycomra.de, moominpapa, theloaraxe"
16,199,201,79,0.7178571428571429,-0.5702545258740139,"meidastouch.com, chrisjustice01, susannahredelfs, physiciandemocracy.medsky.social, vtgal"
17,197,201,41,0.8305785123966942,0.08229624616232381,"phillewis, snelsonus, honeckmischa, todders707, kittywashere"
18,185,193,71,0.7310606060606061,-0.5021478997475897,"acyn, dumperdan, beeboobeeboo, nvandenhouten, germannerd"
19,185,188,88,0.6811594202898551,-0.5147948823869228,"nancabell, crampell, amandapatperez, muddles1968, bazinga987"
20,181,211,34,0.8612244897959184,-0.4316769325840883,"ericlevitz, travisatkins, unityindefiance, davidrobbo, fwordleproblems"
21,180,185,56,0.7676348547717843,-0.4535581974967106,"adamkinzinger.substack.com, bakingfool, middermoo, jsmithdromey, kparent"
22,177,182,73,0.7137254901960784,-0.2848192721728113,"ashlieweeks, faefromthefield, claypotter, sotarocks, dell10"
23,176,183,100,0.6466431095406361,-0.36802736615494086,"thatrosenoir, 204uni, willgarcia820, worldbefree67, okieblue54"
24,171,177,87,0.6704545454545454,-0.5632483350207745,"tamranger, karlgerm.com, morj797, spriddler, carovnik"
25,171,173,55,0.7587719298245614,-0.3980713753758254,"jbpritzker, ajnyx, autopostai, landcucumber, barskin"
26,168,170,90,0.6538461538461539,-0.4536988191525726,"queenofthesouth, wolfhour, kimber68, ayeshabarb, davis23patrice"
27,168,177,88,0.6679245283018868,-0.4836402194690233,"dwander, amrenaissanceman, saablofton2025, scouseraffa, yousaidisay"
28,168,171,40,0.8104265402843602,-0.4149476715398056,"msignorile, joshsewell, smotus, curious-bystander, tyrotcm"
29,165,181,88,0.6728624535315985,-0.37066978883704865,"barrelbucket, dashannestokes.com, freeabq, ben-wojdyla, alsalt"
