,degree,closeness,betweenness,eigenvector,pagerank
paulshinbone,9.439305267132339e-05,0.21370935205357863,0.0,0.00022685125453528426,4.243590258854655e-05
womenriseup2026,0.01868982442892203,0.2717873726878576,0.03460809828400668,0.00691969756946203,0.006508787937683167
204uni,0.0011327166320558807,0.274136369517402,0.014601423177767506,0.025748809302683265,0.00036262662758852976
hulk1006,9.439305267132339e-05,0.21370935205357863,0.0,0.00022685125453528426,4.243590258854655e-05
janeen123,9.439305267132339e-05,0.21370935205357863,0.0,0.00022685125453528426,4.243590258854655e-05
markinboulder,0.0002831791580139702,0.23468687002946323,0.000776924621128431,0.0007388049822693676,9.828303417207201e-05
schwarzkaren,9.439305267132339e-05,0.21370935205357863,0.0,0.00022685125453528426,4.243590258854655e-05
grammyrulz,9.439305267132339e-05,0.21370935205357863,0.0,0.00022685125453528426,4.243590258854655e-05
goldenbutterfly357,9.439305267132339e-05,0.21370935205357863,0.0,0.00022685125453528426,4.243590258854655e-05
micha57,9.439305267132339e-05,0.21370935205357863,0.0,0.00022685125453528426,4.243590258854655e-05
billymusicguy,9.439305267132339e-05,0.21370935205357863,0.0,0.00022685125453528426,4.243590258854655e-05
luckydog59,9.439305267132339e-05,0.21370935205357863,0.0,0.00022685125453528426,4.243590258854655e-05
kevinzoidberg,9.439305267132339e-05,0.21370935205357863,0.0,0.00022685125453528426,4.243590258854655e-05
suzanneelaine,0.00037757221068529355,0.21792524633328533,0.0016553162845528281,0.00039015779423947196,0.00013456448524743983
bludawg1,0.00018878610534264677,0.17894061212080264,2.5745006854571374e-07,2.0284848283715475e-05,7.171755148299308e-05
tiemen55,0.0002831791580139702,0.21373522172456927,0.0008913046472046951,0.00022818195996836304,0.00010495433758621756
lottesenkelin,0.0004719652633566169,0.24990564257407058,0.002210170947844912,0.003361866969009545,0.00015590075563479678
minutello1,0.0006607513686992637,0.2450613000231321,0.005948940642064566,0.0015716605058475842,0.00021265933397957818
drewthedoo,9.439305267132339e-05,0.21370935205357863,0.0,0.00022685125453528426,4.243590258854655e-05
debisdeb,9.439305267132339e-05,0.21370935205357863,0.0,0.00022685125453528426,4.243590258854655e-05
phoenixg75,0.00018878610534264677,0.21464027392264523,0.00013465135623366036,0.00022747455864939912,7.482057456989982e-05
wyonative75,0.0002831791580139702,0.19292335148325532,0.0001903772931810315,1.900765369203655e-05,0.00011459295351755241
max970,0.00018878610534264677,0.1617305813385442,9.440196356084206e-05,6.239751707379123e-07,9.167414484343064e-05
antonsfrelix,9.439305267132339e-05,0.21370935205357863,0.0,0.00022685125453528426,4.243590258854655e-05
gsuter031,0.00018878610534264677,0.21519835869101545,6.43742039757671e-05,0.00025642460362875933,6.926960798536414e-05
waynekennethtaylor,0.00018878610534264677,0.2257645178476292,0.0005672963287822526,0.0003932139231469897,7.215347691788993e-05
charlottepringlet,0.00018878610534264677,0.2319075346963793,0.0002560933631775043,0.0005806205453416711,6.986548726126283e-05
pirategrace,0.00018878610534264677,0.2264400983221118,0.0001454369892329286,0.0003794545493213373,7.06149324055075e-05
fullyjaded,9.439305267132339e-05,0.21370935205357863,0.0,0.00022685125453528426,4.243590258854655e-05
swillymountain56,9.439305267132339e-05,0.21370935205357863,0.0,0.00022685125453528426,4.243590258854655e-05
tiredofthisshit,0.0002831791580139702,0.2193374741200828,0.00039613769085578595,0.00026976515436184887,9.67061639997882e-05
inorbit30,0.00037757221068529355,0.22272211243325063,0.0024556313233128034,0.0002741150900460326,0.00013267546521411318
effjepstein,0.0004719652633566169,0.25462673652838536,0.004632428620562007,0.023443829897556296,0.00015549155217895488
mysticalsusan,9.439305267132339e-05,0.21370935205357863,0.0,0.00022685125453528426,4.243590258854655e-05
teresalynnkocsis,0.0002831791580139702,0.17894665720752678,0.0020944706097022667,2.0306687250195316e-05,0.00011022097223293657
jafjr,9.439305267132339e-05,0.1517873773192922,0.0,6.657106864848397e-07,4.579810288279007e-05
judithanne,0.00018878610534264677,0.2178983524959378,0.0002638441605735164,0.00038882708880639313,7.204605024976882e-05
nanettejean,0.00018878610534264677,0.2233607421463209,0.00025869920992483043,0.0005674924880883197,7.136381141617751e-05
alburylocked,9.439305267132339e-05,0.13921705192057507,0.0,2.0463881279871202e-08,5.3218758130889926e-05
emmettroserose,9.439305267132339e-05,0.21370935205357863,0.0,0.00022685125453528426,4.243590258854655e-05
airwaving,9.439305267132339e-05,0.21370935205357863,0.0,0.00022685125453528426,4.243590258854655e-05
peoplehavethepower,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
thatrosenoir,0.01670757032282424,0.2735983058288784,0.03330578035346668,0.004654730477677923,0.005795421339976011
benignoldbiddy,0.0004719652633566169,0.26418952618453867,0.005064309773790197,0.026695360235006273,0.0001560046412990873
dargster,0.00018878610534264677,0.223842123056119,0.0002935882678648192,0.00034548729516393047,7.16090873425995e-05
lavonda,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
dubman1969,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
dmp423,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
melissasmom,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
merrittkelly1,0.00018878610534264677,0.22135394901796906,0.00029110052454405666,0.00031457912905716193,7.194679899776794e-05
greyhavensdoodles,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
hope50,0.00018878610534264677,0.22864419216989684,0.0002494603553131303,0.0005218165949925966,6.937597824101236e-05
i-love-women,0.0002831791580139702,0.22549541303931375,0.00040804846473393357,0.00032143838539887894,9.80993611839704e-05
tiny-direwolf,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
go-dems01,0.00018878610534264677,0.2264400983221118,0.00014514611525446273,0.0003794545493213373,7.06149324055075e-05
huntervanv,0.00018878610534264677,0.21484485905495843,5.062863818330113e-05,0.00015295905762603023,7.568495535261659e-05
sigonellapc3,0.00018878610534264677,0.21513717685762443,7.85965275061848e-05,0.00015279507336714973,7.461082837260626e-05
luq73,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
patfeb55,0.0005663583160279403,0.23764552816348505,0.005201034593057129,0.0008938957080892206,0.00019294387321774152
gen-x-sam,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
saganleft2soon,0.0004719652633566169,0.23162865950980607,0.0022243581867813977,0.0004719811586340329,0.00016579883156792925
captainwest,0.0004719652633566169,0.25237630130785904,0.0035190585160026462,0.00394573759047414,0.00016432985116806076
realdrnefario,9.439305267132339e-05,0.2015217804831653,0.0,0.00012940591315927798,4.177768401417338e-05
jimmycraig42,0.00018878610534264677,0.2224461942257218,0.00024312514738007585,0.00023191918906235903,7.194700945197423e-05
baldingmars,0.0002831791580139702,0.2343442387240914,0.0007695623646954902,0.0006851262724659832,9.860810186741948e-05
frankhopper,0.00018878610534264677,0.22616455317877118,0.000622374788072994,0.0005571789413610944,7.210908488344059e-05
pink73,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
factsonly007,0.0004719652633566169,0.24920022581859239,0.0024463097784822273,0.0034139628158039205,0.0001564100032886014
temkin64,0.00018878610534264677,0.2224275126498562,0.00018884089385892285,0.00046022297592086467,7.070339078242743e-05
aaronlanterman,0.00018878610534264677,0.21483614536015574,4.720098178042103e-05,0.00015293223746279627,7.580944087845238e-05
lizbotkin,0.00018878610534264677,0.17685257833497486,0.0,1.0033501541798706e-05,7.782462473446725e-05
ogmethy,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
otisredfoot,0.00018878610534264677,0.22407411324266588,0.0002646270451416979,0.00033135698165959643,7.117851719470319e-05
khongsocho,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
bostonsmaaht,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
scallywag77,0.00018878610534264677,0.22946629700225266,0.00037149987564700734,0.0005020235122228151,7.120393349570291e-05
1rmctldy,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
tinitaoh,9.439305267132339e-05,0.21482743237214585,0.0,0.00015260329478605303,4.233665133654567e-05
